0.526724	0.421379	9.615113
0.536301	0.450109	9.586383
0.536301	0.411802	9.538499
0.574608	0.47884	9.576806
0.296881	0.392649	9.720458
0.497993	0.526724	9.59596
0.50757	0.421379	9.375693
0.584185	0.373495	9.509768
0.517147	0.363918	9.720458
0.316034	0.450109	9.710881
0.402225	0.450109	9.490615
0.651222	0.421379	9.605537
0.459686	0.402225	9.59596
0.325611	0.421379	9.576806
0.392649	0.363918	9.586383
0.517147	0.450109	9.672574
0.50757	0.450109	9.519345
0.47884	0.373495	9.461884
0.47884	0.392649	9.653421
0.488417	0.421379	9.710881
0.517147	0.430956	9.634267
0.517147	0.392649	9.59596
0.555454	0.411802	9.490615
0.402225	0.497993	9.653421
0.450109	0.469263	9.672574
0.574608	0.411802	9.586383
0.555454	0.574608	9.576806
0.526724	0.459686	9.548076
0.450109	0.421379	9.615113
0.469263	0.450109	9.643844
0.545877	0.497993	9.586383
0.555454	0.497993	9.557653
0.565031	0.392649	9.567229
0.497993	0.421379	9.557653
0.469263	0.497993	9.62469
0.50757	0.50757	9.634267
0.555454	0.402225	9.509768
0.536301	0.440533	9.519345
0.488417	0.392649	9.643844
0.47884	0.421379	9.538499
0.459686	0.411802	9.567229
0.584185	0.430956	9.538499
0.488417	0.402225	9.567229
0.402225	0.440533	9.634267
0.641647	0.287305	8.676586
-0.458134	0.239421	7.5561
0.74699	0.632069	9.519345
2.240972	1.867477	11.645396
0.105345	1.273715	10.390835
0.6608	1.110909	9.011775
0.306457	0.814029	9.500192
3.035847	0.201113	12.995726
1.924938	0.306458	7.240065
0.172382	0.105345	7.5561
0.172382	0.708683	10.189722
0.545877	0.948103	10.036493
0.095769	0.660799	9.988609
0.344765	0.287304	7.632714
1.714248	0.651222	9.902418
0.737414	0.0	12.11466
0.287304	0.248997	8.676586
0.26815	0.105344	9.327809
0.469263	0.756567	10.31422
0.986411	0.68953	9.126696
0.995987	0.143652	9.62469
1.541865	0.009577	9.538499
1.130063	0.411803	9.203311
1.139639	0.316035	9.461884
0.153228	1.005564	9.892841
0.067038	1.551442	9.490615
0.124498	0.881066	9.414
0.632069	0.47884	10.036493
1.110909	0.450109	10.084377
0.938527	0.430956	9.576806
0.766144	0.153229	8.973467
0.986411	0.05746	9.576806
0.775721	1.005564	9.83538
0.469264	2.815581	9.739612
0.574608	1.522712	8.791508
0.191537	1.149216	10.869675
0.354341	0.660799	8.791508
2.078167	-0.391096	8.494627
0.651223	0.42138	10.390835
1.053448	-2.255468	11.070788
0.469263	-5.210044	8.69574
0.287304	-4.723179	10.0748
0.162805	-2.437427	14.010868
-0.285751	-1.96014	10.419565
